Nombre,Nombre_clean,Operador,Estado,Departamento,Municipio
AUTOG CELSIA SOLAR LEVAPAN,AUTOG CELSIA SOLAR LEVAPAN,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,VALLE DEL CAUCA,TULUÁ
AUTOG CELSIA SOLAR PALMIRA 3,AUTOG CELSIA SOLAR PALMIRA,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,VALLE DEL CAUCA,PALMIRA
AUTOG CELSIA SOLAR PALMIRA 3 ZONA FRANCA,AUTOG CELSIA SOLAR PALMIRA 3 ZONA FRANCA,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,VALLE DEL CAUCA,PALMIRA
AUTOG CELSIA SOLAR TQ JAMUNDI,AUTOG CELSIA SOLAR TQ JAMUNDI,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,VALLE DEL CAUCA,JAMUNDÍ
AUTOG CELSIA SOLAR TQ TECNOSUR,AUTOG CELSIA SOLAR TQ TECNOSUR,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,CAUCA,VILLA RICA
AUTOG CELSIA SOLAR YUMBO,AUTOG CELSIA SOLAR YUMBO,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,VALLE DEL CAUCA,YUMBO
AUTOG CI JEANS,AUTOG CI JEANS,ERCO GENERACION S.A.S. ESP,Pruebas,ANTIOQUIA,LA ESTRELLA
AUTOG COMOLSA,AUTOG COMOLSA,CELSIA COLOMBIA S.A. E.S.P.,Operación,VALLE DEL CAUCA,GUADALAJARA DE BUGA
AUTOG CORONA SOPO,AUTOG CORONA SOPO,ENEL COLOMBIA SA ESP,Pruebas,CUNDINAMARCA,SOPÓ
AUTOG EL COPEY,AUTOG EL COPEY,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,Pruebas,CESAR,EL COPEY
AUTOG HIDROSOLAR I,AUTOG HIDROSOLAR I,ERCO GENERACION S.A.S. ESP,Pruebas,CASANARE,YOPAL
AUTOG MILPA SAN CARLOS,AUTOG MILPA SAN CARLOS,ENEL COLOMBIA SA ESP,Pruebas,CUNDINAMARCA,GUACHETÁ
AUTOG MOLINOS SANTA MARTA,AUTOG MOLINOS SANTA MARTA,CELSIA COLOMBIA S.A. E.S.P.,Operación,VALLE DEL CAUCA,GUADALAJARA DE BUGA
AUTOG PALMERAS DE LA COSTA,AUTOG PALMERAS DE LA COSTA,VOLTAJE EMPRESARIAL S.A.S. E.S.P.,Pruebas,CESAR,EL COPEY
AUTOG PINTUCO,AUTOG PINTUCO,ERCO GENERACION S.A.S. ESP,Pruebas,ANTIOQUIA,RIONEGRO
AUTOG QBCO,AUTOG QBCO,CELSIA COLOMBIA S.A. E.S.P.,Operación,VALLE DEL CAUCA,GUADALAJARA DE BUGA
AUTOG SOLAR AYACUCHO,AUTOG SOLAR AYACUCHO,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,CESAR,LA GLORIA
AUTOG SOLAR PALMIRA,AUTOG SOLAR PALMIRA,CELSIA COLOMBIA S.A. E.S.P.,Operación,VALLE DEL CAUCA,PALMIRA
AUTOG SOLAR PALMIRA II BERRY,AUTOG SOLAR PALMIRA II BERRY,CELSIA COLOMBIA S.A. E.S.P.,Operación,VALLE DEL CAUCA,PALMIRA
AUTOG SOLAR VASCONIA,AUTOG SOLAR VASCONIA,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,BOYACÁ,PUERTO BOYACÁ
AUTOG UNIMINAS,AUTOG UNIMINAS,ENEL COLOMBIA SA ESP,Pruebas,CUNDINAMARCA,GUACHETÁ
BARAYA,BARAYA,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,SUCRE,GALERAS
BOSQUES SOLARES DE LOS LLANOS 4,BOSQUES SOLARES DE LOS LLANOS,ISAGEN S.A. E.S.P.,Operación,META,PUERTO GAITÁN
BSB 500,BSB,ISAGEN S.A. E.S.P.,Operación,ATLÁNTICO,SABANALARGA
CAIMAN CIENAGUERO,CAIMAN CIENAGUERO,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,Pruebas,MAGDALENA,CIÉNAGA
CANAHUATE,CANAHUATE,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,CESAR,SAN DIEGO
CARACOLI I,CARACOLI I,SOL DE LAS CIÉNAGAS S.A.S. E.S.P.,Operación,ATLÁNTICO,MALAMBO
CELSIA SOLAR ALUMINA,CELSIA SOLAR ALUMINA,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,VALLE DEL CAUCA,YUMBO
CELSIA SOLAR BOLIVAR,CELSIA SOLAR BOLIVAR,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,BOLÍVAR,SANTA ROSA
CELSIA SOLAR BUGALAGRANDE,CELSIA SOLAR BUGALAGRANDE,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,VALLE DEL CAUCA,ANDALUCÍA
CELSIA SOLAR CARMELO,CELSIA SOLAR CARMELO,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,VALLE DEL CAUCA,CANDELARIA
CELSIA SOLAR DULIMA,CELSIA SOLAR DULIMA,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,TOLIMA,FLANDES
CELSIA SOLAR ESCOBAL I,CELSIA SOLAR ESCOBAL I,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,TOLIMA,IBAGUÉ
CELSIA SOLAR ESCOBAL II,CELSIA SOLAR ESCOBAL II,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,TOLIMA,IBAGUÉ
CELSIA SOLAR ESCOBAL III,CELSIA SOLAR ESCOBAL III,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,TOLIMA,IBAGUÉ
CELSIA SOLAR ESCOBAL IV,CELSIA SOLAR ESCOBAL IV,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,TOLIMA,IBAGUÉ
CELSIA SOLAR ESCOBAL V,CELSIA SOLAR ESCOBAL V,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,TOLIMA,IBAGUÉ
CELSIA SOLAR LA PAILA,CELSIA SOLAR LA PAILA,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,VALLE DEL CAUCA,ZARZAL
CELSIA SOLAR LA VICTORIA I,CELSIA SOLAR LA VICTORIA I,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,VALLE DEL CAUCA,LA VICTORIA
CELSIA SOLAR LA VICTORIA II,CELSIA SOLAR LA VICTORIA II,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,VALLE DEL CAUCA,LA VICTORIA
CELSIA SOLAR PUERTO TEJADA,CELSIA SOLAR PUERTO TEJADA,CELSIA COLOMBIA S.A. E.S.P.,Operación,CAUCA,PUERTO TEJADA
CELSIA SOLAR YUMA,CELSIA SOLAR YUMA,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,TOLIMA,FLANDES
CENTRO SOLAR,CENTRO SOLAR,GR POWER COLOMBIA S.A.S E.S.P.,Pruebas,CÓRDOBA,PLANETA RICA
CERRITOS,CERRITOS,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,TOLIMA,SAN SEBASTIÁN DE MARIQUITA
COMUNIDAD EL SALVADOR I,COMUNIDAD EL SALVADOR I,ERCO GENERACION S.A.S. ESP,Operación,ANTIOQUIA,MEDELLÍN
COMUNIDAD EL SALVADOR II,COMUNIDAD EL SALVADOR II,ERCO GENERACION S.A.S. ESP,Operación,ANTIOQUIA,MEDELLÍN
CONDOR,CONDOR,TERMOEMCALI I S.A E.S.P,Pruebas,CUNDINAMARCA,SIMIJACA
DELTA I,DELTA I,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,NARIÑO,TAMINANGO
ECOPARQUE SOLAR LA CIRA,ECOPARQUE SOLAR LA CIRA,ISAGEN S.A. E.S.P.,Pruebas,SANTANDER,BARRANCABERMEJA
EL PASO,EL PASO,ENEL COLOMBIA SA ESP,Operación,CESAR,EL PASO
EL TAMARINDO I,EL TAMARINDO I,EL TAMARINDO SOLAR S.A.S. E.S.P.,Pruebas,BOLÍVAR,MAGANGUÉ
EL TAMARINDO II,EL TAMARINDO II,EL TAMARINDO SOLAR S.A.S. E.S.P.,Pruebas,BOLÍVAR,MAGANGUÉ
FUNDACION,FUNDACION,ENEL COLOMBIA SA ESP,Operación,MAGDALENA,PIVIJAY
GANDALF,GANDALF,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,CESAR,SAN DIEGO
GD AGUSTIN I,GD AGUSTIN I,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,NORTE DE SANTANDER,CÚCUTA
GD ALAMO SOLAR,GD ALAMO SOLAR,ERCO GENERACION S.A.S. ESP,Operación,ANTIOQUIA,RIONEGRO
GD ALEJANDRIA I,GD ALEJANDRIA I,PROELECTRICA S.A.S E.S.P.,Operación,SANTANDER,SABANA DE TORRES
GD ALEJANDRIA II,GD ALEJANDRIA II,PROELECTRICA S.A.S E.S.P.,Operación,SANTANDER,SABANA DE TORRES
GD ALEJANDRIA III,GD ALEJANDRIA III,PROELECTRICA S.A.S E.S.P.,Operación,SANTANDER,SABANA DE TORRES
GD ALFEREZ,GD ALFEREZ,CELSIA COLOMBIA S.A. E.S.P.,Operación,VALLE DEL CAUCA,CALI
GD ASTROLUMEN LA GARITA,GD ASTROLUMEN LA GARITA,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,NORTE DE SANTANDER,LOS PATIOS
GD BASILICA,GD BASILICA,CELSIA COLOMBIA S.A. E.S.P.,Operación,VALLE DEL CAUCA,GUADALAJARA DE BUGA
GD BIOSOLAR,GD BIOSOLAR,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,NORTE DE SANTANDER,SAN CAYETANO
GD BLANCA ENERGY I,GD BLANCA ENERGY I,COENERGIA S.A.S. E.S.P.,Operación,CESAR,LA PAZ
GD BLANCA ENERGY II,GD BLANCA ENERGY II,COENERGIA S.A.S. E.S.P.,Operación,CESAR,LA PAZ
GD BLANCA ENERGY III,GD BLANCA ENERGY III,NEU ENERGY S.A.S E.S.P,Operación,CESAR,VALLEDUPAR
GD BLANCA ENERGY SOLAR 23,GD BLANCA ENERGY SOLAR,COENERGIA S.A.S. E.S.P.,Operación,CESAR,VALLEDUPAR
GD BOCAS DEL PALO,GD BOCAS DEL PALO,CELSIA COLOMBIA S.A. E.S.P.,Operación,VALLE DEL CAUCA,JAMUNDÍ
GD BONILLA A I,GD BONILLA A I,OTACC GENERACION S.A.S. E.S.P.,Operación,ATLÁNTICO,CANDELARIA
GD BONILLA A II,GD BONILLA A II,OTACC GENERACION S.A.S. E.S.P.,Operación,ATLÁNTICO,CANDELARIA
GD BONILLA A III,GD BONILLA A III,OTACC GENERACION S.A.S. E.S.P.,Operación,ATLÁNTICO,CANDELARIA
GD BONILLA A IV,GD BONILLA A IV,OTACC GENERACION S.A.S. E.S.P.,Operación,ATLÁNTICO,CANDELARIA
GD BONILLA A V,GD BONILLA A V,OTACC GENERACION S.A.S. E.S.P.,Operación,ATLÁNTICO,CANDELARIA
GD CADILLO II,GD CADILLO II,OTACC GENERACION S.A.S. E.S.P.,Operación,ATLÁNTICO,SOLEDAD
GD CARACOL I,GD CARACOL I,OTACC GENERACION S.A.S. E.S.P.,Operación,ATLÁNTICO,SOLEDAD
GD CARACOL II,GD CARACOL II,OTACC GENERACION S.A.S. E.S.P.,Operación,ATLÁNTICO,SOLEDAD
GD CARACOL III,GD CARACOL III,OTACC GENERACION S.A.S. E.S.P.,Operación,ATLÁNTICO,SOLEDAD
GD CHICORAL,GD CHICORAL,CELSIA COLOMBIA S.A. E.S.P.,Operación,TOLIMA,FLANDES
GD CHIMBI,GD CHIMBI,CELSIA COLOMBIA S.A. E.S.P.,Operación,TOLIMA,CARMEN DE APICALÁ
GD CHIRIGUANA NORTE I,GD CHIRIGUANA NORTE I,COX ENERGY COMERCIALIZADORA SAS ESP,Pruebas,CESAR,CHIRIGUANÁ
GD CHIRIGUANA NORTE II,GD CHIRIGUANA NORTE II,UNERGY ENERGY DIGITAL S.A.S E.S.P,Pruebas,CESAR,CHIRIGUANÁ
GD CHIRIGUANA NORTE IV,GD CHIRIGUANA NORTE IV,UNERGY ENERGY DIGITAL S.A.S E.S.P,Pruebas,CESAR,CHIRIGUANÁ
GD CORALITO,GD CORALITO,SUNCOLOMBIA GENERACIÓN S.A.S E.S.P,Operación,SUCRE,COROZAL
GD CSF ARENALES I,GD CSF ARENALES I,GENERADORA CANTAYÚS S.A.S E.S.P,Operación,ANTIOQUIA,CIUDAD BOLÍVAR
GD DELTA II,GD DELTA II,BIA ENERGY S.A.S. E.S.P,Operación,NARIÑO,TAMINANGO
GD DIOCESIS DE RIOHACHA,GD DIOCESIS DE RIOHACHA,ENERGIA LIMPIA Y EFICIENTE S.A.S ESP,Operación,LA GUAJIRA,RIOHACHA
GD EDEQ SOLAR LA TEBAIDA,GD EDEQ SOLAR LA TEBAIDA,EMPRESA DE ENERGIA DEL QUINDIO S.A. E.S.P.,Operación,QUINDÍO,LA TEBAIDA
GD EDEQ SOLAR MONTENEGRO,GD EDEQ SOLAR MONTENEGRO,EMPRESA DE ENERGIA DEL QUINDIO S.A. E.S.P.,Operación,QUINDÍO,MONTENEGRO
GD EL BANCO,GD EL BANCO,CELSIA COLOMBIA S.A. E.S.P.,Operación,TOLIMA,ARMERO
GD EL ROBLE,GD EL ROBLE,PROELECTRICA S.A.S E.S.P.,Operación,SUCRE,EL ROBLE
GD EMPERATRIZ I,GD EMPERATRIZ I,SUNCOLOMBIA GENERACIÓN S.A.S E.S.P,Operación,CÓRDOBA,MONTERÍA
GD EMPERATRIZ II,GD EMPERATRIZ II,SUNCOLOMBIA GENERACIÓN S.A.S E.S.P,Operación,CÓRDOBA,MONTERÍA
GD ENCANTO,GD ENCANTO,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,Operación,ATLÁNTICO,POLONUEVO
GD ERCO GUAMO I,GD ERCO GUAMO I,ERCO GENERACION S.A.S. ESP,Operación,TOLIMA,GUAMO
GD ERCO GUAMO II,GD ERCO GUAMO II,ERCO GENERACION S.A.S. ESP,Operación,TOLIMA,GUAMO
GD ERCO GUAMO III,GD ERCO GUAMO III,ERCO GENERACION S.A.S. ESP,Operación,TOLIMA,GUAMO
GD ERCO GUAMO IV,GD ERCO GUAMO IV,ERCO GENERACION S.A.S. ESP,Operación,TOLIMA,GUAMO
GD ERCO ISIDORI,GD ERCO ISIDORI,ERCO GENERACION S.A.S. ESP,Operación,CESAR,LA GLORIA
GD ERCO LAS PIEDRAS I,GD ERCO LAS PIEDRAS I,ERCO GENERACION S.A.S. ESP,Operación,SUCRE,SAMPUÉS
GD ERCO LAS PIEDRAS II,GD ERCO LAS PIEDRAS II,ERCO GENERACION S.A.S. ESP,Operación,SUCRE,SAMPUÉS
GD ERCO MARIANGOLA,GD ERCO MARIANGOLA,ERCO GENERACION S.A.S. ESP,Operación,CESAR,VALLEDUPAR
GD ERCO PALMAS,GD ERCO PALMAS,ERCO GENERACION S.A.S. ESP,Operación,CESAR,TAMALAMEQUE
GD ERCO SALDANA I,GD ERCO SALDANA I,ERCO GENERACION S.A.S. ESP,Operación,TOLIMA,SALDAÑA
GD ERCO SALDANA II,GD ERCO SALDANA II,ERCO GENERACION S.A.S. ESP,Operación,TOLIMA,SALDAÑA
GD ERCO TOLDADO,GD ERCO TOLDADO,ERCO GENERACION S.A.S. ESP,Operación,TOLIMA,ORTEGA
GD ESPERANZA I,GD ESPERANZA I,NEXTGY S.A.S. E.S.P.,Operación,HUILA,RIVERA
GD ESPERANZA II,GD ESPERANZA II,NEXTGY S.A.S. E.S.P.,Operación,HUILA,PALERMO
GD FINCA ISABEL LOPEZ,GD FINCA ISABEL LOPEZ,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,Operación,ATLÁNTICO,SABANALARGA
GD FINCA JM,GD FINCA JM,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,Operación,ATLÁNTICO,SANTO TOMÁS
GD GALILEO SOLAR,GD GALILEO SOLAR,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,Operación,SUCRE,COROZAL
GD GOLONDRINA,GD GOLONDRINA,SUNCOLOMBIA GENERACIÓN S.A.S E.S.P,Operación,SUCRE,COROZAL
GD GRANJA LA RUBIELA,GD GRANJA LA RUBIELA,DUCK ENERGY S.A.S. ESP,Operación,CÓRDOBA,MONTERÍA
GD GRANJA SAN PELAYO,GD GRANJA SAN PELAYO,DUCK ENERGY S.A.S. ESP,Operación,CÓRDOBA,SAN PELAYO
GD JARDINCITO,GD JARDINCITO,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,Operación,CESAR,VALLEDUPAR
GD LA CACICA,GD LA CACICA,UNERGY ENERGY DIGITAL S.A.S E.S.P,Pruebas,CESAR,VALLEDUPAR
GD LA CATEDRAL,GD LA CATEDRAL,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,BOLÍVAR,SAN ESTANISLAO
GD LA HONDA,GD LA HONDA,CELSIA COLOMBIA S.A. E.S.P.,Operación,VALLE DEL CAUCA,LA VICTORIA
GD LA MACANA,GD LA MACANA,SUNO S.A.S. ESP,Operación,QUINDÍO,ARMENIA
GD LA URIBE,GD LA URIBE,CELSIA COLOMBIA S.A. E.S.P.,Operación,VALLE DEL CAUCA,LA VICTORIA
GD LAS MERCEDES I,GD LAS MERCEDES I,FUENTES DE ENERGIAS RENOVABLES S.A.S. E.S.P.,Operación,MAGDALENA,ALGARROBO
GD LAS MERCEDES II,GD LAS MERCEDES II,FUENTES DE ENERGIAS RENOVABLES S.A.S. E.S.P.,Operación,MAGDALENA,ALGARROBO
GD LAS PILONERAS,GD LAS PILONERAS,UNERGY ENERGY DIGITAL S.A.S E.S.P,Pruebas,CESAR,VALLEDUPAR
GD LOS CHORROS,GD LOS CHORROS,CELSIA COLOMBIA S.A. E.S.P.,Operación,TOLIMA,FLANDES
GD LYRA,GD LYRA,BIA ENERGY S.A.S. E.S.P,Pruebas,CAUCA,MERCADERES
GD MEISSA II,GD MEISSA II,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,Operación,CÓRDOBA,PLANETA RICA
GD MGS 0013 LA MESA,GD MGS 0013 LA MESA,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,SANTANDER,LOS SANTOS
GD NAOS I,GD NAOS I,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,NARIÑO,TAMINANGO
GD NAOS II,GD NAOS II,BIA ENERGY S.A.S. E.S.P,Operación,NARIÑO,TAMINANGO
GD NAOS III,GD NAOS III,BIA ENERGY S.A.S. E.S.P,Operación,NARIÑO,TAMINANGO
GD ORBIS,GD ORBIS,BIA ENERGY S.A.S. E.S.P,Pruebas,CAUCA,MERCADERES
GD PALERMO,GD PALERMO,CELSIA COLOMBIA S.A. E.S.P.,Operación,TOLIMA,FLANDES
GD PALMERAS I,GD PALMERAS I,OTACC GENERACION S.A.S. E.S.P.,Operación,ATLÁNTICO,SOLEDAD
GD PALMERAS II,GD PALMERAS II,OTACC GENERACION S.A.S. E.S.P.,Operación,ATLÁNTICO,SOLEDAD
GD PALMERAS III,GD PALMERAS III,OTACC GENERACION S.A.S. E.S.P.,Operación,ATLÁNTICO,SOLEDAD
GD PALMERAS IV,GD PALMERAS IV,OTACC GENERACION S.A.S. E.S.P.,Operación,ATLÁNTICO,SOLEDAD
GD PARQUE SOLAR GRANADA I,GD PARQUE SOLAR GRANADA I,ELECTRIFICADORA DEL META S.A. E.S.P.,Operación,META,GRANADA
GD PARQUE SOLAR GRANADA II,GD PARQUE SOLAR GRANADA II,ELECTRIFICADORA DEL META S.A. E.S.P.,Operación,META,GRANADA
GD PARQUE SOLAR LA ESPERANZA,GD PARQUE SOLAR LA ESPERANZA,ELECTRIFICADORA DEL META S.A. E.S.P.,Operación,META,GRANADA
GD PARQUE SOLAR TRONCAL,GD PARQUE SOLAR TRONCAL,ELECTRIFICADORA DEL META S.A. E.S.P.,Operación,META,GRANADA
GD PEGASUS SOLAR,GD PEGASUS SOLAR,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,Operación,SUCRE,COROZAL
GD POLARIS II,GD POLARIS II,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,CAUCA,MERCADERES
GD POLARIS III,GD POLARIS III,BIA ENERGY S.A.S. E.S.P,Operación,CAUCA,MERCADERES
GD PULOY,GD PULOY,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,ATLÁNTICO,GALAPA
GD PXV I,GD PXV I,ES INVEST COLOMBIA S.A.S. ESP,Operación,SANTANDER,BARRANCABERMEJA
GD PXV IV,GD PXV IV,ES INVEST COLOMBIA S.A.S. ESP,Operación,SANTANDER,BARRANCABERMEJA
GD SAN MARTIN,GD SAN MARTIN,ELECTRIFICADORA DEL META S.A. E.S.P.,Operación,META,SAN MARTÍN
GD SAN MARTIN II,GD SAN MARTIN II,ELECTRIFICADORA DEL META S.A. E.S.P.,Operación,META,SAN MARTÍN
GD SAN MARTIN III,GD SAN MARTIN III,ELECTRIFICADORA DEL META S.A. E.S.P.,Operación,META,SAN MARTÍN
GD SAN PELAYO,GD SAN PELAYO,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,CÓRDOBA,SAN PELAYO
GD SEMILLA DE EL PASO IIIA,GD SEMILLA DE EL PASO IIIA,ERCO GENERACION S.A.S. ESP,Operación,CESAR,EL PASO
GD SEMILLA DE EL PASO IVA,GD SEMILLA DE EL PASO IVA,ERCO GENERACION S.A.S. ESP,Operación,CESAR,EL PASO
GD SEMILLA DE GUACAMAYAL II,GD SEMILLA DE GUACAMAYAL II,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,Operación,MAGDALENA,ZONA BANANERA
GD SEMILLA DEL PASO IA,GD SEMILLA DEL PASO IA,ERCO GENERACION S.A.S. ESP,Operación,CESAR,EL PASO
GD SEMILLA DEL PASO III,GD SEMILLA DEL PASO III,ERCO GENERACION S.A.S. ESP,Operación,CESAR,EL PASO
