Nombre,Nombre_clean,Operador,Estado,Departamento,Municipio
MINIGRANJA LA PAZ ESMERALDA,MINIGRANJA LA PAZ ESMERALDA,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,CESAR,LA PAZ
MINIGRANJA LA PAZ LEYENDA,MINIGRANJA LA PAZ LEYENDA,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,CESAR,LA PAZ
MINIGRANJA LA PAZ VALLENATA,MINIGRANJA LA PAZ VALLENATA,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,CESAR,LA PAZ
MINIGRANJA LA PAZ VERSO,MINIGRANJA LA PAZ VERSO,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,CESAR,LA PAZ
MINIGRANJA LA PUYA,MINIGRANJA LA PUYA,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,CESAR,VALLEDUPAR
MINIGRANJA LA RESERVA,MINIGRANJA LA RESERVA,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,SANTANDER,SABANA DE TORRES
MINIGRANJA SAN DIEGO SUR,MINIGRANJA SAN DIEGO SUR,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,CESAR,SAN DIEGO
MINIGRANJA SAN PEDRO,MINIGRANJA SAN PEDRO,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,Operación,SUCRE,SAN PEDRO
MINIGRANJA VALENCIA ORIENTE I,MINIGRANJA VALENCIA ORIENTE I,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,CESAR,VALLEDUPAR
MINIGRANJA VALENCIA ORIENTE II,MINIGRANJA VALENCIA ORIENTE II,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,CESAR,VALLEDUPAR
MINIGRANJA VILLANUEVA,MINIGRANJA VILLANUEVA,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,LA GUAJIRA,VILLANUEVA
MONTELIBANO,MONTELIBANO,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,CÓRDOBA,MONTELÍBANO
NUMBANA,NUMBANA,ERCO GENERACION S.A.S. ESP,Pruebas,TOLIMA,GUAMO
PARQUE SOLAR ARENAL,PARQUE SOLAR ARENAL,4E GROUP S.A.S E.S.P.,Pruebas,BOLÍVAR,SAN ESTANISLAO
PARQUE SOLAR BARANOA,PARQUE SOLAR BARANOA,FOTOVOLTAICO EL YARUMO SAS ESP,Operación,ATLÁNTICO,BARANOA
PARQUE SOLAR BUGAMBILES,PARQUE SOLAR BUGAMBILES,FOTOVOLTAICO EL YARUMO SAS ESP,Operación,ATLÁNTICO,BARANOA
PARQUE SOLAR DINAMARCA,PARQUE SOLAR DINAMARCA,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,Pruebas,META,SAN JUAN DE ARAMA
PARQUE SOLAR EL JARDIN,PARQUE SOLAR EL JARDIN,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,Pruebas,CESAR,VALLEDUPAR
PARQUE SOLAR HATO GRANDE,PARQUE SOLAR HATO GRANDE,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,Pruebas,CUNDINAMARCA,CHOCONTÁ
PARQUE SOLAR HONDA I,PARQUE SOLAR HONDA I,ATLÁNTICA COLOMBIA S.A.S. E.S.P.,Pruebas,CUNDINAMARCA,GUADUAS
PARQUE SOLAR HONDA II,PARQUE SOLAR HONDA II,ATLÁNTICA COLOMBIA S.A.S. E.S.P.,Pruebas,CUNDINAMARCA,GUADUAS
PARQUE SOLAR INTI I,PARQUE SOLAR INTI I,EMPRESA URRA S.A. E.S.P.,Pruebas,CÓRDOBA,LA APARTADA
PARQUE SOLAR LA MENA,PARQUE SOLAR LA MENA,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,Pruebas,META,SAN CARLOS DE GUAROA
PARQUE SOLAR LA UNION,PARQUE SOLAR LA UNION,SPK LA UNIÓN S.A.S. E.S.P.,Operación,CÓRDOBA,SAN CARLOS
PARQUE SOLAR NISPEROS,PARQUE SOLAR NISPEROS,FOTOVOLTAICO EL YARUMO SAS ESP,Operación,ATLÁNTICO,BARANOA
PARQUE SOLAR PUERTA DE ORO,PARQUE SOLAR PUERTA DE ORO,PARQUE SOLAR PUERTA DE ORO S.A.S. E.S.P.,Pruebas,CUNDINAMARCA,GUADUAS
PARQUE SOLAR SABANA,PARQUE SOLAR SABANA,ATLÁNTICA COLOMBIA S.A.S. E.S.P.,Pruebas,CESAR,CHIRIGUANÁ
PARQUE SOLAR TEPUY,PARQUE SOLAR TEPUY,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Operación,CALDAS,LA DORADA
PARQUE SOLAR URRA,PARQUE SOLAR URRA,EMPRESA URRA S.A. E.S.P.,Pruebas,CÓRDOBA,TIERRALTA
PARQUE SOLAR VERSALLES,PARQUE SOLAR VERSALLES,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,Pruebas,META,SAN JUAN DE ARAMA
PETALO DE CORDOBA II,PETALO DE CORDOBA II,BCCY CORDOBA S.A.S. E.S.P.,Pruebas,CÓRDOBA,CHINÚ
PETALO DEL MAGDALENA,PETALO DEL MAGDALENA,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,MAGDALENA,ZONA BANANERA
PETALO DEL NORTE DE SANTANDER I,PETALO DEL NORTE DE SANTANDER I,ERCO GENERACION S.A.S. ESP,Pruebas,NORTE DE SANTANDER,LA ESPERANZA
