CodigoPlanta,NombreUnidad,TipoGeneracion,FPO
5H1O,GD YUAN SOLAR 1,Solar,2025-12-16
5LAA,GD SEVILLANO RURAL II 1,Solar,2026-02-27
4Z8P,MINIGRANJA EL MAPALE 1,Solar,2025-06-30
5E3N,CELSIA SOLAR ESCOBAL V 1,Solar,2025-03-31
5IT1,GD ALAMO SOLAR 1,Solar,2026-01-30
5JG6,GD SOLYCIELO 9 1,Solar,2026-02-20
5H1R,GD LA CATEDRAL 1,Solar,2026-01-31
4XOU,MINIGRANJA LA CUMBIA 1,Solar,2025-04-30
5F6Z,GD LAS MERCEDES II 1,Solar,2026-01-02
5JQL,GD POLARIS III 1,Solar,2026-02-06
5E6T,SOL Y CIELO VII 1,Solar,2026-01-02
5F6W,GD ESPERANZA I 1,Solar,2026-02-07
5J8J,GD EMPERATRIZ II 1,Solar,2026-02-19
5F74,GD SAN PELAYO 1,Solar,2025-09-30
5G3U,SOL DE ZAWADY 1,Solar,2024-10-31
5LOO,GD SEVILLANO RURAL I 1,Solar,2026-03-03
5DW3,GD YURBAQUA 1,Solar,2025-12-22
5F71,PCH LA NOQUE 2,Hidraulica,2025-01-31
ATLP,ATLANTICO 1,Solar,2025-09-30
5ISX,PLANTA SOLAR SAN FRANCISCO 1,Solar,2025-12-31
5AXC,VALLEDUPAR II 1,Solar,2025-07-31
5F42,GD LAS MERCEDES I 1,Solar,2026-01-02
5IKT,GD SEMILLAS MONTERIA I 1,Solar,2026-01-12
5JGE,GD ERCO LAS PIEDRAS II 1,Solar,2026-01-31
5IVZ,GD CORALITO 1,Solar,2026-01-18
5DWA,CELSIA SOLAR ESCOBAL IV 1,Solar,2025-03-31
5IW1,GD EMPERATRIZ I 1,Solar,2026-02-19
5IT2,GD SEMILLA DEL PASO IA 1,Solar,2026-01-09
5ISO,GD PALMERAS II 1,Solar,2026-01-06
5IM7,GD ORBIS 1,Solar,2025-12-31
5J8I,GD GOLONDRINA 1,Solar,2026-01-18
4Z8N,MINIGRANJA EL JOROPO 1,Solar,2025-02-28
5JRO,GD EDEQ SOLAR LA TEBAIDA 1,Solar,2026-02-10
5K7I,GD PARQUE SOLAR LA ESPERANZA 1,Solar,2026-02-20
5K7N,GD SEMILLA DE EL PASO IVA 1,Solar,2026-02-20
5E3J,MINIGRANJA EL COPEY OCCIDENTE 1,Solar,2025-02-28
5EER,CELSIA SOLAR ESCOBAL III 1,Solar,2025-03-31
5K7H,GD PEGASUS SOLAR 1,Solar,2026-03-03
5L9T,GD PARQUE SOLAR TRONCAL 1,Solar,2026-02-22
PRD4,PRADO 4,Hidraulica,1973-03-01
5ISR,GD LA MACANA 1,Solar,2026-01-16
5G3O,CELSIA SOLAR ESCOBAL I 1,Solar,2025-03-31
5JRP,GD EDEQ SOLAR MONTENEGRO 1,Solar,2026-02-10
5ISK,GD PALMERAS I 1,Solar,2026-01-06
5IT3,GD SEMILLA DEL PASO III 1,Solar,2026-01-09
5H1F,MINIGRANJA VALENCIA ORIENTE I 1,Solar,2026-02-13
5F47,EL TAMARINDO II 1,Solar,2025-10-31
5IKR,GD LYRA 1,Solar,2025-11-30
5ISM,GD PALMERAS IV 1,Solar,2026-01-06
5EES,CELSIA SOLAR ESCOBAL II 1,Solar,2025-03-31
5JJC,GD ERCO LAS PIEDRAS I 1,Solar,2026-02-19
5ISS,GD PARQUE SOLAR GRANADA II 1,Solar,2026-01-05
5ISL,GD PALMERAS III 1,Solar,2026-01-06
5H1N,GD LAS PILONERAS 1,Solar,2025-10-31
5F46,EL TAMARINDO I 1,Solar,2025-10-31
5IKU,GD SEMILLAS MONTERIA II 1,Solar,2026-01-12
5H1M,GD LA CACICA 1,Solar,2025-11-30
5K7O,GD SEMILLA DE EL PASO IIIA 1,Solar,2026-02-20
5E3F,MINIGRANJA VALENCIA ORIENTE II 1,Solar,2026-02-24
5MA4,GD GALILEO SOLAR 1,Solar,2026-03-17
5MAE,GD BONILLA A I 1,Solar,2026-03-17
5AXG,VALLEDUPAR III 1,Solar,2025-07-31
5MAD,GD BONILLA A III 1,Solar,2026-03-17
5MAH,GD BONILLA A IV 1,Solar,2026-03-17
5IME,PARQUE SOLAR SABANA 1,Solar,2025-03-31
5MAK,GD SINAI 1,Solar,2025-11-30
5LSO,GD CHIRIGUANA NORTE IV 1,Solar,2026-01-31
5J8K,PARQUE SOLAR HATO GRANDE 1,Solar,2025-08-31
5MAG,GD BONILLA A II 1,Solar,2026-03-17
5JDL,PARQUE SOLAR EL JARDIN 1,Solar,2025-09-30
5ISN,GD CSF ARENALES I 1,Solar,2026-03-20
5LSN,GD CHIRIGUANA NORTE II 1,Solar,2026-01-31
5LTB,GD ERCO ISIDORI 1,Solar,2026-03-13
5LT6,PLANTA FV DONA JUANA 1,Solar,2026-02-28
5MAF,GD BONILLA A V 1,Solar,2026-03-17
5JJA,GD CHIRIGUANA NORTE I 1,Solar,2025-12-31
5LON,GD MEISSA II 1,Solar,2026-03-20
5NPT,GD SUAMOX 1,Solar,2026-04-08
5P44,AUTOG CELSIA SOLAR TQ TECNOSUR 1,Solar,2025-09-30
