CodigoPlanta,NombreUnidad,TipoGeneracion,FPO
4ULY,GD ERCO GUAMO III 1,Solar,2025-03-30
TRM1,TERMOCENTRO 1,Termica,1997-02-22
SJN1,SAJANDI 1,Hidraulica,1995-01-01
5F3Z,GD CADILLO II 1,Solar,2025-11-11
3HDG,OIBITA 1,Hidraulica,2023-05-14
4WP2,GD NAOS III 1,Solar,2025-05-02
3PXH,CENTRO SOLAR 1,Solar,2024-12-11
3JQC,GANDALF 1,Solar,2024-02-22
3C3Z,LA SIERPE 1,Solar,2021-05-31
2T4P,SAN MATIAS 1,Hidraulica,1935-01-01
RFR2,RIO FRIO II 2,Hidraulica,2016-01-27
CAS1,CENTRAL CASTILLA 1,Termica,2004-08-15
TSR1,TERMOSIERRA 2,Termica,1998-03-28
5F43,ALMA II 1,Solar,2025-07-31
TEC1,TERMOEMCALI 1 VAPOR,Termica,1999-07-16
2UPD,TEQUENDAMA 2 1,Hidraulica,2018-10-06
4RGG,PARQUE SOLAR BARANOA 1,Solar,2025-04-30
3F5L,AUTOG CI JEANS 1,Solar,2023-08-25
4S1G,MINIGRANJA VILLANUEVA 1,Solar,2025-07-25
3INX,CARACOLI I 1,Solar,2024-12-22
3ENE,SINCE 1,Solar,2022-09-10
3NR4,MINIGRANJA EL MOLINO 1,Solar,2024-09-30
4S66,GD DIOCESIS DE RIOHACHA 1,Solar,2025-01-25
VLT1,LA VUELTA 1,Hidraulica,2004-11-22
4WWQ,MINIGRANJA IBIRICO 1,Solar,2025-07-21
2SXQ,BIOENERGY,Termica,2017-04-22
CHBG,BETANIA 1,Hidraulica,1987-11-01
5GF5,GD BLANCA ENERGY SOLAR 24 1,Solar,2025-12-09
2SW1,EL EDEN 1,Hidraulica,2017-03-02
SBA1,SUBA 1,Hidraulica,2013-04-15
5G3S,PARQUE SOLAR BUGAMBILES 1,Solar,2025-08-31
3CSH,GY SOLAR AURORA 1,Solar,2022-08-11
BAR1,BARROSO 1,Hidraulica,2007-08-05
3GVI,GRANJA SOLAR FLANDES 1,Solar,2023-03-27
3J2B,SOLAR PLANETA RICA 1,Solar,2024-04-17
INC1,INCAUCA 1,Termica,1998-10-21
HRD1,LA HERRADURA 2,Hidraulica,2016-01-24
4UZO,SOLAR PALMASECA II 1,Solar,2025-03-31
3EE4,PARQUE EOLICO GUAJIRA I 1,Eolica,2022-04-30
ALTG,ALTO TULUA 2,Hidraulica,2016-01-08
3J4V,PARQUE SOLAR LA MENA 1,Solar,2024-02-16
URA1,URRA 3,Hidraulica,2000-05-13
3K6X,GD LA HONDA 1,Solar,2024-03-14
3E7C,AUTOG CELSIA SOLAR LEVAPAN 1,Solar,2022-06-11
3C3X,AUTOG INGENIO MARIA LUISA 1,Termica,2021-08-14
3NLE,GD NAOS I 1,Solar,2024-08-27
RMR1,RUMOR 1,Hidraulica,1958-11-01
2WC5,MULATOS II 1,Hidraulica,2019-08-26
2UPF,TEQUENDAMA 3 1,Hidraulica,2018-12-12
4VBC,SOL Y CIELO VI 1,Solar,2025-05-08
TBQ3,BARRANQUILLA 3,Termica,1980-01-01
4T6C,AUTOG LOS POCITOS 1,Termica,2025-02-16
5FPM,GD ASTROLUMEN LA GARITA 1,Solar,2025-09-30
RPL1,INGENIO RIOPAILA 1,Termica,2018-05-21
FLRD,FLORIDA 21,Hidraulica,1963-01-01
3GI6,GRANJA SOLAR EL SALADO 1,Solar,2023-06-17
2V5G,JUAN GARCIA 2,Hidraulica,2018-04-03
CLMG,CALIMA 1,Hidraulica,1967-01-01
3EXB,CERRITOS 1,Solar,2022-09-19
