CodigoPlanta,NombreUnidad,TipoGeneracion
PST1,PASTALES 1,Hidraulica
PTC1,PATICO - LA CABRERA 1,Hidraulica
4SNT,PCH JULIO BRAVO 1,Hidraulica
2YIR,PCH LA LIBERTAD 1,Hidraulica
5F71,PCH LA NOQUE 2,Hidraulica
3AFQ,POCUNE 1,Hidraulica
2S8U,PORCE III MENOR 1,Hidraulica
3KL4,POWER PLANT DRUMMOND 1,Termica
2U5P,PROENCA II 1,Termica
PRV1,PROVIDENCIA 1,Hidraulica
PTG1,PUENTE GUILLERMO 3,Hidraulica
PMR1,REMEDIOS 1,Hidraulica
RBB1,RIO BOBO 1,Hidraulica
RCL1,RIO CALI 1,Hidraulica
RFR1,RIO FRIO I 1,Hidraulica
RFR2,RIO FRIO II 2,Hidraulica
RGR1,RIO GRANDE 1,Hidraulica
LPLO,RIO PALO 1,Hidraulica
RPD1,RIO PIEDRAS 1,Hidraulica
RCIO,RIO RECIO 1,Hidraulica
SPY1,RIO SAPUYES 1,Hidraulica
TMS1,RIOFRIO (TAMESIS) 1,Hidraulica
RGRN,RIOGRANDE I 1,Hidraulica
RMYO,RIOMAYO 1,Hidraulica
RNG1,RIONEGRO 1,Hidraulica
RMR1,RUMOR 1,Hidraulica
SJN1,SAJANDI 1,Hidraulica
2ZCF,SAN ANDRES DE CUERQUIA 1,Hidraulica
3HDE,SAN BARTOLOME 1,Hidraulica
SNC1,SAN CANCIO 1,Hidraulica
SFC1,SAN FRANCISCO (PUTUMAYO) 1,Hidraulica
SJOG,SAN JOSE 1,Hidraulica
SJM1,SAN JOSE DE LA MONTAÑA 1,Hidraulica
2UR5,SAN JOSE DE LA MONTAÑA II 1,Hidraulica
2T4P,SAN MATIAS 1,Hidraulica
SNT1,SANTA ANA 1,Hidraulica
SRA1,SANTA RITA 1,Hidraulica
STG1,SANTIAGO 1,Hidraulica
SLV1,SILVIA 1,Hidraulica
SNS1,SONSON 1,Hidraulica
SBA1,SUBA 1,Hidraulica
SUV1,SUEVA 2 1,Hidraulica
TBST,TEBSA 21,Termica
2UPJ,TEQUENDAMA 1 1,Hidraulica
2UPD,TEQUENDAMA 2 1,Hidraulica
2UPF,TEQUENDAMA 3 1,Hidraulica
2UPH,TEQUENDAMA 4 1,Hidraulica
2S9Q,TEQUENDAMA BIOGAS 1,Termica
TMB1,TERMOBOLIVAR 1,Termica
2WFN,TERMOCAPACHOS 1,Termica
TRM1,TERMOCENTRO 1,Termica
TEC1,TERMOEMCALI 1 VAPOR,Termica
2U93,TERMOMECHERO 4,Termica
2U8Y,TERMOMECHERO 5,Termica
2U91,TERMOMECHERO 6,Termica
TPD1,TERMOPIEDRAS 1,Termica
5E69,TERMOSARAVENA 1,Termica
TVL1,TERMOVALLE 1 VAPOR,Termica
TUJ1,TUNJITA 1,Hidraulica
3H2U,TZ II 2,Hidraulica
UNN1,UNION 1,Hidraulica
PLU1,URRAO 1,Hidraulica
USQ1,USAQUEN 1,Hidraulica
VNTA,VENTANA A 1,Hidraulica
VNTB,VENTANA B 1,Hidraulica
3E9I,ZEUS 1,Hidraulica
CTM1,,
CIMR,,
CTM2,,
JPR1,,
2W4Y,,
2S8G,,
UNIB,,
PTR1,,
2XXX,,
2Y2T,,
2YQO,,
CIS1,,
CLTJ,,
ILC1,,
JBV1,,
TCD1,,
TCD2,,
3AL8,,
3E98,,
3EAO,,
JAG1,,
RUB1,,
3GFQ,,
3HWK,,
3IRI,,
3KOD,,
3N5E,,
3PKH,,
3PKN,,
3PXJ,,
4QPJ,,
ISGG,,
ERRG,,
GNYG,,
54091,,
5IMB,,
5J8H,,
5L9Y,,
5LTA,,
5MY6,,
5NK2,,
5O14,,
5O15,,
5O16,,
5O17,,
5O1A,,
5O1C,,
5O1U,,
5O1V,,
5O1W,,
5O49,,
5OWK,,
5OWN,,
5OWY,,
5PO1,,
5PO2,,
